player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,MIN,23.00967725614465,41,256.0882352941177,1.9117647058823528,45.01441962027002,0.3088235294117647,3,0.8823529411764706,0.5612116403937719
Justin Herbert,QB,Los Angeles Chargers,SF,19.21004297902367,33,250.70588235294116,1.8529411764705883,17.406312143177885,0.1715686274509804,1,0.8823529411764706,0.5821225145158687
Tom Brady,QB,Tampa Bay Buccaneers,SEA,19.567242236607562,26,289.0882352941177,1.9705882352941178,5.135167464114832,0.1111111111111111,3,0.7058823529411765,0.7525862398695217
Patrick Mahomes,QB,Kansas City Chiefs,JAX,19.370941778245825,38,256.2941176470588,1.7941176470588234,23.3976530765759,0.13970588235294118,4,0.7647058823529411,0.5097616257433112
Aaron Rodgers,QB,Green Bay Packers,DAL,18.86504895510836,25,247.68198529411765,1.8621323529411766,6.342401315789473,0.1875,0,0.25,0.7546019582043344
Matthew Stafford,QB,Los Angeles Rams,ARI,17.427273076788648,24,250.91176470588238,2.0882352941176467,2.731554297298242,0,2,1,0.726136378199527
Dak Prescott,QB,Dallas Cowboys,GB,18.045142443716514,30,248.56066176470588,2.068014705882353,8.556571495988674,0.058333333333333334,6,0.625,0.6015047481238838
Jalen Hurts,QB,Philadelphia Eagles,WAS,21.99817990105803,38,232.24117647058824,1.5333333333333332,43.218661755678326,0.5199999999999999,2,0.6,0.5788994710804745
Kyler Murray,QB,Arizona Cardinals,LAR,19.655449011723316,30,256.1029411764706,1.3571428571428572,27.871077621800165,0.31832298136645965,0,0.7142857142857143,0.6551816337241105
Kirk Cousins,QB,Minnesota Vikings,BUF,14.636097607436758,28,213.40625,1.3841911764705883,7.068329015544041,0.090625,2,0.4375,0.5227177716941699
Ryan Tannehill,QB,Tennessee Titans,DEN,15.591893136332882,20,217.23529411764707,1.2647058823529411,14.191054125477148,0.2864450127877238,4,0.8235294117647058,0.7795946568166441
